name,filter,mjd_max,flux_max,flux_err_max
SN2002er,I,52523.0,1.9006674308093755e-15,6.8571446395166595e-18
SN2002er,V,52526.0,5.344226836797316e-15,1.5462004230528404e-17
SN2002dp,B,52451.0,8.567211968785017e-15,4.675763451813557e-17
SN2002dp,R,52451.0,3.101794825451992e-15,5.045471056073607e-16
SN2002dp,V,52453.0,5.364629731776036e-15,3.080090669996298e-17
SN1999da,I,51374.0,4.930360221117526e-16,5.0261023588784895e-18
SN1999da,R,51373.0,9.383016149792993e-16,8.285611250163186e-18
SN1999da,V,51373.0,1.1899716579044304e-15,8.700693011176123e-18
SN2007co,B,54264.0,1.1348361076226419e-15,6.041472645370224e-18
SN2007co,R,54266.0,5.317266491254544e-16,2.669209396212975e-18
SN2007S,B,54143.0,2.7232836314736794e-15,2.2386610749329476e-17
SN2007S,V,54146.0,2.2867236854483877e-15,1.843644470335405e-17
SN2007S,g,54145.0,2.480310034731909e-15,2.198769762535986e-17
SN2007S,i,54143.0,9.363082442835101e-16,6.393700512817643e-18
SN2007S,r,54147.0,2.061792316974516e-15,6.971105300248645e-18
SN2006D,B,53757.0,1.1880261309336406e-14,4.3670409191706976e-17
SN2006D,V,53759.0,7.563367369942267e-15,2.582348005864883e-17
SN2006D,g,53757.0,9.785208207149386e-15,3.767744545795305e-17
SN2006D,r,53758.0,6.042440879286093e-15,2.1740208802706832e-17
SN2016coj,B,57547.0,3.6089691949006207e-14,2.830530760590977e-16
SN2016coj,V,57548.0,2.0152451081647314e-14,5.502672778580241e-16
SN2016coj,g,57550.0,2.679894205201393e-14,2.482002217193472e-16
SN2016coj,r,57550.0,1.5635146054046296e-14,1.6232701826464156e-16
SN2013gq,B,56385.0,6.0837638316538234e-15,1.0046049748176709e-16
SN2013gq,R,56389.0,2.580808194864218e-15,4.7607382564282514e-17
SN2013gq,V,56389.0,4.0257578406587065e-15,5.5113498183755854e-17
SN2012ea,B,56158.0,2.3570725303550235e-15,1.5708420386820664e-17
SN2012ea,V,56160.0,2.1333771368738765e-15,1.0073054703568566e-17
SN2012ea,I,56160.0,7.449616838190714e-16,4.147936825777263e-18
SN2012ea,R,56160.0,1.5354452611966693e-15,7.221355466778054e-18
iPTF14bdn,U,56819.0,7.659291789786994e-15,1.4349710557209245e-16
iPTF14bdn,B,56821.0,7.60268545063338e-15,1.7167339362536579e-16
iPTF14bdn,V,56826.0,4.157924313356796e-15,8.117410472668341e-17
SN2009dc,R,54949.0,1.834345014770135e-15,4.799703394933397e-17
SN2009dc,i,54947.0,9.784171704382654e-16,2.822816036858079e-18
SN2009dc,V,54947.0,2.8601901838001193e-15,2.172064347920347e-17
SN2009dc,B,54946.0,4.539441521878692e-15,4.325755399139197e-17
SN2009dc,I,54949.0,8.461693399329532e-16,2.907279761867449e-17
SN2009dc,r,54948.0,2.13052562136639e-15,3.435453037542445e-17
SN2001eh,R,52170.0,4.772831526120771e-16,3.018349601804854e-18
SN2001eh,V,52170.0,6.98681392632387e-16,2.9282282753998216e-18
SN2011fe,g,55815.0,4.463608673317501e-13,6.323281563460715e-15
SN2011fe,U,55814.0,5.303228583102387e-13,1.0719163262687398e-13
SN2011fe,B,55814.0,6.841881428956367e-13,2.1244554721595823e-15
SN2011fe,V,55816.0,3.6703229620403865e-13,5.419792518265699e-16
SN2011fe,I,55812.0,9.834917802105139e-14,5.236024699207572e-16
SN2011fe,R,55814.0,2.2146533653209708e-13,1.3496824652195927e-15
SN2011fe,r,55815.0,2.596297651887788e-13,8.221603244388305e-16
SN1999dk,B,51415.0,6.388120457005203e-15,8.263739672148213e-17
SN1999dk,I,51413.0,1.0099824094646794e-15,1.1153886002324232e-17
SN1999dk,R,51417.0,2.556344591889994e-15,2.017579209005065e-17
SN1999dk,V,51417.0,4.023561623053208e-15,2.573082897623159e-17
SN2001bf,B,52044.0,6.1696024242157794e-15,3.76811938468291e-17
SN2001bf,I,52050.0,1.1592433523081337e-15,4.8610701277831604e-17
SN2001bf,R,52046.0,2.4701038155556466e-15,9.010543488308637e-18
SN2001bf,V,52045.0,3.744033151515712e-15,1.6033549664990394e-17
SN2004ef,B,53264.0,9.662546665496948e-16,2.564124577463305e-18
SN2004ef,V,53265.0,6.278630138611016e-16,1.7329148293446952e-18
SN2004ef,g,53264.0,8.099791948746571e-16,1.6521189610347759e-18
SN2004ef,i,53261.0,2.255438040876985e-16,7.724411906401543e-19
SN2004ef,r,53266.0,5.339135636299552e-16,1.2859268085608908e-18
SN2004ef,I,53261.0,1.8572582219216195e-16,1.9969321193945486e-18
SN2004ef,R,53265.0,4.535524288565454e-16,2.974149664121093e-18
ASASSN-14lp,V,57016.0,6.022719133664012e-14,3.684784560031924e-16
ASASSN-14lp,g,57015.0,6.386715954736941e-14,2.1379592637663428e-16
ASASSN-14lp,r,57018.0,4.657970843767194e-14,1.3704268346630374e-16
ASASSN-14lp,i,57013.0,1.9361056456639555e-14,8.351875896476044e-17
SN2003Y,B,52676.0,4.468306273162366e-16,5.833217668123663e-18
SN2003Y,I,52679.0,3.004052335602754e-16,2.6116882657107986e-18
SN2003Y,R,52680.0,4.814496222497628e-16,2.4052215263371663e-18
SN2003Y,V,52678.0,5.571048982756461e-16,4.2783791575995936e-18
SN2005kc,B,53698.0,2.388635126129938e-15,4.220066427693383e-17
SN2005kc,V,53699.0,1.820118159032011e-15,5.564144811274401e-18
SN2005kc,g,53698.0,2.1394017614226902e-15,7.153904995321194e-18
SN2005kc,i,53696.0,8.269743643103779e-16,1.0380522981246004e-17
SN2005kc,r,53699.0,1.6208675596265413e-15,4.726960161974597e-18
SN2002dj,B,52450.0,1.1892724095769179e-14,9.103635891878776e-17
SN2002dj,I,52449.0,2.0957343086220093e-15,5.596436110713884e-17
SN2002dj,R,52452.0,5.257168800151924e-15,3.9735221221648946e-17
SN2002dj,V,52453.0,8.170209512036026e-15,3.6058395577258274e-17
SN2006kf,V,54042.0,8.18695351418272e-16,5.465701272557319e-18
SN2006kf,g,54042.0,1.035574229792069e-15,4.6746880841988e-18
SN2006kf,r,54042.0,7.119318571526329e-16,3.2096112886500984e-18
SN2017drh,I,57889.0,1.816442412006518e-15,1.7295219010980012e-17
SN2017drh,R,57891.0,2.2338028736475256e-15,1.7769255532405675e-17
SN2017drh,V,57892.0,1.815826949328086e-15,1.533629411118969e-17
SN2005hk,r,53690.0,1.4993803417237767e-15,1.3386336732574267e-17
SN2005hk,g,53686.0,2.3309092238479913e-15,8.118088408407661e-17
SN2005hk,B,53684.0,2.7423539885589942e-15,1.0023394963543485e-17
